Frame_Number,Object_Info,Keypoint_15_X,Keypoint_15_Y,Keypoint_16_X,Keypoint_16_Y
210,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 861, 'Center_Y': 806, 'Status': 'Moving'}"
211,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 850, 'Center_Y': 803, 'Status': 'Moving'}"
212,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 838, 'Center_Y': 800, 'Status': 'Moving'}"
213,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 827, 'Center_Y': 797, 'Status': 'Moving'}"
214,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 816, 'Center_Y': 795, 'Status': 'Moving'}"
215,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 807, 'Center_Y': 794, 'Status': 'Moving'}"
216,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 795, 'Center_Y': 792, 'Status': 'Moving'}"
217,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 785, 'Center_Y': 791, 'Status': 'Moving'}"
218,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 775, 'Center_Y': 790, 'Status': 'Moving'}"
219,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 765, 'Center_Y': 789, 'Status': 'Moving'}"
220,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 756, 'Center_Y': 789, 'Status': 'Moving'}"
221,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 745, 'Center_Y': 788, 'Status': 'Moving'}"
